aalib 1.4rc5-18
jbig2dec 0.20-1
jbigkit 2.1-7
jq 1.7.1-1
js115 115.10.0-1
json-c 0.17-1
json-glib 1.8.0-1
jsoncpp 1.9.5-2
kaccounts-integration 24.02.2-1
karchive 6.1.0-1
kauth 6.1.0-1
kbd 2.6.4-1
kbookmarks 6.1.0-1
kcalendarcore 6.1.0-1
kcmutils 6.1.0-1
kcodecs 6.1.0-1
kcolorscheme 6.1.0-1
kcompletion 6.1.0-1
kconfig 6.1.0-1
kconfigwidgets 6.1.0-1
kcontacts 1:6.1.0-1
kcoreaddons 6.1.0-1
kcrash 6.1.0-1
kdbusaddons 6.1.0-1
keyutils 1.6.3-2
kglobalaccel 6.1.0-1
kguiaddons 6.1.0-1
ki18n 6.1.0-1
kiconthemes 6.1.0-1
kidentitymanagement 24.02.2-1
kio 6.1.0-1
kirigami 6.1.0-1
kitemmodels 6.1.0-1
kitemviews 6.1.0-1
kjobwidgets 6.1.0-1
kleopatra 24.02.2-1
kmailtransport 24.02.2-1
kmbox 24.02.2-1
kmime 24.02.2-1
kmod 32-1
knotifications 6.1.0-1
kpimtextedit 24.02.2-1
krb5 1.21.2-2
kservice 6.1.0-1
ksmtp 24.02.2-1
kstatusnotifieritem 6.1.0-1
ktextaddons 1.5.4-1
ktextwidgets 6.1.0-1
kwallet 6.1.0-1
kwayland-integration 6.0.4-1
kwayland5 5.115.0-1
kwidgetsaddons 6.1.0-1
kwindowsystem 6.1.0-1
kwindowsystem5 5.115.0-1
kxmlgui 6.1.0-1
l-smash 2.14.5-3
lame 3.100-4
lapack 3.12.0-3
lazygit 0.41.0-1
lcms2 2.16-1
lensfun 1:0.3.4-3
less 1:643-2
lib2geom 1.3-1
libabw 0.1.3-3
libaccounts-glib 1.27-1
libaccounts-qt 1.17-1
libadwaita 1:1.5.0-1
libaio 0.3.113-3
libakonadi 24.02.2-1
libappindicator-gtk3 12.10.0.r298-3
libarchive 3.7.3-1
libass 0.17.1-4
libassuan 2.5.7-2
libasyncns 1:0.8+r3+g68cd5af-2
libatasmart 0.19-6
libatomic_ops 7.8.0-1
libavc1394 0.5.4-6
libavif 1.0.4-2
libb2 0.98.1-2
libblockdev 3.1.1-1
libblockdev-crypto 3.1.1-1
libblockdev-fs 3.1.1-1
libblockdev-loop 3.1.1-1
libblockdev-mdraid 3.1.1-1
libblockdev-nvme 3.1.1-1
libblockdev-part 3.1.1-1
libblockdev-swap 3.1.1-1
libbluray 1.3.4-1
libbpf 1.3.0-1
libbs2b 3.1.0-8
libbsd 0.12.2-1
libbytesize 2.8-2
libc++ 17.0.6-1
libc++abi 17.0.6-1
libcamera 0.2.0-1
libcamera-ipa 0.2.0-1
libcanberra 1:0.30+r2+gc0620e4-3
libcap 2.69-4
libcap-ng 0.8.5-1
libcdr 0.1.7-7
libcloudproviders 0.3.6-1
libcmis 0.6.2-1
libcolord 1.4.7-2
libcue 2.3.0-1
libcups 1:2.4.7-2
libdaemon 0.14-5
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libde265 1.0.15-1
libdeflate 1.20-1
libdisplay-info 0.1.1-3
libdmtx 0.7.7-1
libdovi 3.3.0-1
libdrm 2.4.120-1
libe-book 0.1.3-15
libedit 20230828_3.1-1
libei 1.2.1-1
libelf 0.191-1
libepoxy 1.5.10-2
libepubgen 0.1.1-4
libetonyek 0.1.10-3
libevdev 1.13.1-1
libevent 2.1.12-4
libexif 0.6.24-2
libexttextcat 3.4.7-1
libfabric 1.21.0-1
libffi 3.4.6-1
libfontenc 1.1.8-1
libfreehand 0.1.2-4
libgcrypt 1.10.3-1
libgdiplus 5.6.1-4
libgexiv2 0.14.2-1
libgirepository 1.80.1-1
libgit2 1:1.7.2-1
libglvnd 1.7.0-1
libgpg-error 1.48-1
libgrss 0.7.0+16+g971c421-3
libgsf 1.14.52-1
libgtop 2.41.3-2
libgudev 238-1
libgusb 0.4.8-1
libgxps 0.3.2-4
libhandy 1.8.3-1
libheif 1.17.6-5
libibus 1.5.29-4
libical 3.0.18-1
libice 1.1.1-2
libiconv 1.17-1
libidn 1.42-1
libidn2 2.3.7-1
libiec61883 1.2.0-7
libimagequant 4.3.0-1
libimobiledevice 1.3.0-11
libimobiledevice-glue 1.2.0-1
libinih 58-1
libinput 1.25.0-1
libiptcdata 1.0.5-3
libisl 0.26-1
libixion 0.19.0-1
libjpeg-turbo 3.0.2-2
libjxl 0.10.2-1
libkate 0.4.1-9
libkgapi 24.02.2-1
libkleo 24.02.2-1
libksba 1.6.6-1
liblangtag 0.6.7-1
libldap 2.6.7-2
libliftoff 0.4.1-1
liblqr 0.4.2-3
libluv 1.48.0_2-1
libmaxminddb 1.9.1-1
libmcrypt 2.5.8-6
libmd 1.1.0-1
libmm-glib 1.22.0-1
libmng 2.0.3-3
libmnl 1.0.5-2
libmodplug 0.8.9.0-5
libmpc 1.3.1-1
libmpdclient 2.22-1
libmspub 0.1.4-15
libmwaw 0.3.22-1
libmypaint 1.6.1-1
libndp 1.8-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.24-1
libnfnetlink 1.0.2-2
libnftnl 1.2.6-1
libnghttp2 1.61.0-1
libnghttp3 1.2.0-1
libngtcp2 1.4.0-1
libnice 0.1.22-1
libnl 3.9.0-1
libnm 1.46.0-2
libnotify 0.8.3-1
libnsl 2.0.1-1
libnss_nis 3.2-1
libnumbertext 1.0.11-1
libnvme 1.8-1
libodfgen 0.1.8-2
libogg 1.3.5-1
libomxil-bellagio 0.9.3-4
libopenmpt 0.7.6-2
liborcus 0.19.2-1
libosinfo 1.11.0-2
libp11-kit 0.25.3-1
libpagemaker 0.0.4-3
libpaper 2.2.5-1
libpcap 1.10.4-1
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libpipeline 1.5.7-2
libpipewire 1:1.0.5-1
libplacebo 6.338.2-4
libplist 2.4.0-1
libpng 1.6.43-1
